Int_No,Intersection (rue 1),Intersection (rue 2),Arrond.,Traverse sonore,Fait,longitude,latitude,X,Y
860,Laurier,Pie-IX,Rosemont - Petite-Patrie,Sud,OUI,-73.5656032092939,45.5581104131575,299678.3695,5046468.62
860,Laurier,Pie-IX,Rosemont - Petite-Patrie,Nord,Non,-73.5656032092939,45.5581104131575,299678.3695,5046468.62
864,Mont-Royal,Pie-IX,Rosemont - Petite-Patrie,Nord,Non,-73.5588940390989,45.5559685397078,300201.9785,5046230.184
864,Mont-Royal,Pie-IX,Rosemont - Petite-Patrie,Sud,Non,-73.5588940390989,45.5559685397078,300201.9785,5046230.184
865,Pie-IX,Rosemont,Rosemont - Petite-Patrie,Nord,Non,-73.5738390808937,45.560770198081,299035.6685,5046764.76475
865,Pie-IX,Rosemont,Rosemont - Petite-Patrie,Sud,Non,-73.5738390808937,45.560770198081,299035.6685,5046764.76475
870,Saint-Joseph,Saint-Michel,Rosemont - Petite-Patrie,Est,OUI,-73.5682495545188,45.5495202660912,299470.958,5045514.1565
870,Saint-Joseph,Saint-Michel,Rosemont - Petite-Patrie,Nord,OUI,-73.5682495545188,45.5495202660912,299470.958,5045514.1565
879,9 e Avenue,Jarry,Villeray - Saint-Michel - Parc-Extension,Est,OUI,-73.6105800853402,45.5626513405669,296167.7285,5046977.115
887,Legendre,Saint-Michel,Villeray - Saint-Michel - Parc-Extension,Sud,OUI,-73.6274446289261,45.5716716972888,294852.815,5047981.5155
889,Robert,Saint-Michel inter. Nord,Villeray - Saint-Michel - Parc-Extension,Nord,OUI,-73.618525714394,45.5677398933309,295548.3,5047543.5
893,26 e Avenue,Bélanger,Rosemont - Petite-Patrie,Ouest,OUI,-73.5852918908039,45.5672977673741,298142.363,5047491.071
894,39 e Rue,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Nord,Non,-73.6168040717611,45.5777659619319,295684.3075,5048657.5185
894,39 e Rue,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Sud,Non,-73.6168040717611,45.5777659619319,295684.3075,5048657.5185
896,47 e Rue,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Sud,OUI,-73.6221406715303,45.5801244754233,295268.2245,5048920.245
896,47 e Rue,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Nord,Non,-73.6221406715303,45.5801244754233,295268.2245,5048920.245
898,Bélanger,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Sud,OUI,-73.5873267435092,45.5649594265017,297983.2455,5047231.378
898,Bélanger,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Nord,Non,-73.5873267435092,45.5649594265017,297983.2455,5047231.378
903,Hérelle,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Nord,OUI,-73.6053260003625,45.5727013689764,296579.347,5048093.4405
904,Jarry,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Nord,Non,-73.6026241537901,45.5715155682993,296790.0565,5047961.387
904,Jarry,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Sud,Non,-73.6026241537901,45.5715155682993,296790.0565,5047961.387
906,Jean-Talon,Pie-IX,Villeray - Saint-Michel - Parc-Extension,Sud,Non,-73.5913644882936,45.5665414640589,297668.258,5047407.5435
907,Pie-IX,Robert,Villeray - Saint-Michel - Parc-Extension,Nord,Non,-73.6107070921661,45.5750789006583,296159.7195,5048358.2255
907,Pie-IX,Robert,Villeray - Saint-Michel - Parc-Extension,Sud,Non,-73.6107070921661,45.5750789006583,296159.7195,5048358.2255
908,Pie-IX,Villeray,Villeray - Saint-Michel - Parc-Extension,Ouest,OUI,-73.5968908202915,45.5689870247829,297237.211,5047679.829
908,Pie-IX,Villeray,Villeray - Saint-Michel - Parc-Extension,Nord,OUI,-73.5968908202915,45.5689870247829,297237.211,5047679.829
916,Boucherville,Curatteau (pl) inter. Est,Mercier - Hochelaga - Maisonneuve,Nord,OUI,-73.5402242643958,45.594200371162,301661.71,5050478.06
917,Boucherville,Curatteau (pl) inter. Ouest,Mercier - Hochelaga - Maisonneuve,Nord,OUI,-73.5404842153649,45.5935110105809,301641.39,5050401.46
922,Fletcher,Sherbrooke,Mercier - Hochelaga - Maisonneuve,Est,OUI,-73.5265972791148,45.610871879869,302725.4995,5052330.3625
923,Granby,Sherbrooke,Mercier - Hochelaga - Maisonneuve,Est,OUI,-73.5440253805914,45.5812394746741,301364.357,5049037.8435
924,Groseillers,Radisson/Sherbrooke,Mercier - Hochelaga - Maisonneuve,Nord,NON,-73.5395265292151,45.5888656138766,301715.855,5049885.1695
928,Honoré-Beaugrand,Sherbrooke,Mercier - Hochelaga - Maisonneuve,Ouest,OUI,-73.5350275793574,45.5964883398147,302067.2655,5050732.137
928,Honoré-Beaugrand,Sherbrooke,Mercier - Hochelaga - Maisonneuve,Nord,OUI,-73.5350275793574,45.5964883398147,302067.2655,5050732.137
928,Honoré-Beaugrand,Sherbrooke,Mercier - Hochelaga - Maisonneuve,Sud,OUI,-73.5350275793574,45.5964883398147,302067.2655,5050732.137
929,Lacordaire,Sherbrooke,Mercier - Hochelaga - Maisonneuve,Est,OUI,-73.5481272387149,45.5747283425457,301043.823,5048314.4325
933,Ormeaux,Sherbrooke,Mercier - Hochelaga - Maisonneuve,Ouest,NON,-73.5301825007157,45.6045615316953,302445.6,5051629.1765
936,Sherbrooke,Taillon,Mercier - Hochelaga - Maisonneuve,Ouest ( O ou E était demandé),OUI,-73.5276754728025,45.6088794064675,302641.3275,5052108.96225
942,Cadillac,Hochelaga,Mercier - Hochelaga - Maisonneuve,Est,OUI,-73.535804410229,45.573249708147,302005.507,5048149.606
942,Cadillac,Hochelaga,Mercier - Hochelaga - Maisonneuve,Ouest (Annulé),Non,-73.535804410229,45.573249708147,302005.507,5048149.606
947,Fletcher,Hochelaga,Mercier - Hochelaga - Maisonneuve,Est,OUI,-73.5158523548516,45.6089905985992,303563.527,5052121.069
955,Hochelaga,Langelier,Mercier - Hochelaga - Maisonneuve,Ouest,Non,-73.5320513527992,45.5794703226437,302298.705,5048840.791
975,Hector,Notre-Dame,Mercier - Hochelaga - Maisonneuve,Est,Non,-73.5108950283664,45.6099093255855,303950.209,5052223.105
985,Notre-Dame,Saint-Donat,Mercier - Hochelaga - Maisonneuve,Est,OUI,-73.5113726916927,45.594796697294,303912.714,5050543.607
1027,Jarry,Lorimier,Villeray - Saint-Michel - Parc-Extension,Ouest,OUI,-73.6169289315785,45.5555544330492,295670.966,5046189.127
1045,Beaubien,Normanville,Rosemont - Petite-Patrie,Ouest,OUI,-73.6002184840245,45.5392765614051,296973.348,5044378.38
